material_id,tier,rank,vendor_name,location,country,vendor_type,match_category,confidence_score,global_rank,capacity_or_stock,certifications,delivery_evidence,contact_address,contact_email,contact_phone,source_url,unresolved_issues,recommended_next_step
M-03,INDIA_OUTSIDE_AHMEDABAD,4,Tata Steel Limited (Tubes Division),"Kolkata, West Bengal (Plant: Jamshedpur; Hub: Ahmedabad)",India,PRIMARY_MANUFACTURER,EXACT_MATCH,99.0,4,"Over 500,000 MT annual production capacity across Tubes Division mills.",BIS ISI Mark IS 1239; ISO 9001; ISO 14001; GreenPro Certified,"Direct rake and dedicated truckload supply to Sarkhej-Bavla regional hub, Ahmedabad.","Tata Centre, 43 Jawaharlal Nehru Road, Kolkata 700071 (Stockyard: Sarkhej-Bavla Road, Ahmedabad)",tubes.sales@tatasteel.com,+91-33-2288-3333,https://www.tatasteeltubes.com/tata-pipes-commercial-is1239.html,,Submit formal inquiry to Tata Steel Limited (Tubes Division) commercial sales for factory dispatch schedule and MTC review.
M-03,INDIA_OUTSIDE_AHMEDABAD,5,Maharashtra Tubular Products Ltd (Navi Mumbai),"Navi Mumbai, Maharashtra",India,PRIMARY_MANUFACTURER,EXACT_MATCH,94.0,6,"Mid-sized mill rolling 60,000 MT annually near Panvel.",ISO 9001:2015; BIS Licence IS 1239,Regular daily road freight trailers across Western Corridor to Gujarat depots within 48 hours.,,contracts@mahatubular.com,+91-22-2778-1200,https://www.mahatubular.com/catalog/is1239.pdf,Physical facility or warehouse address unlisted.,Submit formal inquiry to Maharashtra Tubular Products Ltd (Navi Mumbai) commercial sales for factory dispatch schedule and MTC review.
M-03,INDIA_OUTSIDE_AHMEDABAD,6,Southern Seamless & ERW Tubes (Chennai),"Chennai, Tamil Nadu",India,AUTHORIZED_DISTRIBUTOR,EXACT_MATCH,87.2,8,,ISO 9001:2015,Interstate road logistics to Western India within 5-7 business days.,"No. 45, Sembudoss Street, George Town, Chennai 600001",,+91-44-2522-8877,https://www.justdial.com/chennai/southern-seamless-erw-tubes,Commercial contact email unlisted.; Stock availability and production capacity unverified.,Submit formal inquiry to Southern Seamless & ERW Tubes (Chennai) commercial sales for factory dispatch schedule and MTC review.
M-03,INDIA_OUTSIDE_AHMEDABAD,7,Bharat Heavy Pipe Mills (Raipur),"Raipur, Chhattisgarh",India,PRIMARY_MANUFACTURER,NEAR_MATCH,82.2,9,"Integrated steel pipe mill with 180,000 MT annual rolling capacity.",ISO 9001:2015; BIS Licence IS 3589,Rail rake and fleet dispatch to Western India in 4-6 business days.,"Industrial Area, Urla, Raipur, Chhattisgarh 492003",marketing@bharatheavypipe.com,,https://www.bharatheavypipe.com/specifications.html,Direct phone contact unverified.,Submit formal inquiry to Bharat Heavy Pipe Mills (Raipur) commercial sales for factory dispatch schedule and MTC review.
M-03,INDIA_OUTSIDE_AHMEDABAD,8,Kalinga Structural Pipes (Bhubaneswar),"Bhubaneswar / Cuttack, Odisha",India,PRIMARY_MANUFACTURER,CATEGORY_LEVEL_LEAD,59.0,19,"Regional manufacturing unit producing 35,000 MT per year.",,National highway transport to Gujarat within 5 business days.,"Plot 22, Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010",sales@kalingapipes.co.in,+91-674-258-0112,https://www.kalingapipes.co.in/products/erw.html,No accredited quality (ISO/BIS) certifications verified on record.,Submit formal inquiry to Kalinga Structural Pipes (Bhubaneswar) commercial sales for factory dispatch schedule and MTC review.
M-03,INDIA_OUTSIDE_AHMEDABAD,9,Eastern India Tube Distributors (Kolkata / Howrah),"Kolkata / Howrah, West Bengal",India,STOCKIST_TRADER,CATEGORY_LEVEL_LEAD,52.2,23,,,Dispatches via third-party Kolkata-Gujarat transport agencies (7-10 days).,"Brabourne Road, Barabazar, Kolkata 700001",eastern.tubes.kol@gmail.com,,https://www.indiamart.com/eastern-india-tubes-howrah/,Direct phone contact unverified.; No accredited quality (ISO/BIS) certifications verified on record.; Stock availability and production capacity unverified.,Submit formal inquiry to Eastern India Tube Distributors (Kolkata / Howrah) commercial sales for factory dispatch schedule and MTC review.
M-03,INDIA_OUTSIDE_AHMEDABAD,10,Vidarbha Industrial Piping Depot (Nagpur),"Nagpur, Maharashtra",India,EPC_SUPPLIER,CATEGORY_LEVEL_LEAD,49.5,24,,,,"MIDC Hingna Road, Nagpur, Maharashtra 440016",,,https://www.vidarbhapiping.in/excess-inventory.html,Direct phone contact unverified.; Commercial contact email unlisted.; No accredited quality (ISO/BIS) certifications verified on record.; Stock availability and production capacity unverified.; Delivery and freight logistics arrangement unverified.,Submit formal inquiry to Vidarbha Industrial Piping Depot (Nagpur) commercial sales for factory dispatch schedule and MTC review.
M-03,INDIA_OUTSIDE_AHMEDABAD,11,Panipat Steel & Tube Supply Co (Haryana),"Panipat, Haryana",India,EPC_SUPPLIER,CATEGORY_LEVEL_LEAD,48.2,25,Contractual stock allocation of 150 MT with primary northern mills.,,,,procure@panipatsteelsupply.com,,https://www.panipatsteelsupply.com/piping-packages.html,Direct phone contact unverified.; Physical facility or warehouse address unlisted.; No accredited quality (ISO/BIS) certifications verified on record.; Delivery and freight logistics arrangement unverified.,Submit formal inquiry to Panipat Steel & Tube Supply Co (Haryana) commercial sales for factory dispatch schedule and MTC review.
M-03,GLOBAL,1,"Baoshan Iron & Steel Co., Ltd. (Baosteel)",Shanghai,China,PRIMARY_MANUFACTURER,NEAR_MATCH,80.0,10,Annual ERW line pipe manufacturing volume exceeding 1.5 Million MT.,ISO 9001; API 5L; ASTM A53 Spec; PED 2014/68/EU; CE Mark,"Breakbulk and containerized ocean shipping from Shanghai Port directly to Mundra Port / Kandla Port, Gujarat (18-24 days ocean transit + customs clearance).","No. 885 Fujin Road, Baoshan District, Shanghai 201900, China",export.tubular@baosteel.com,+86-21-2664-8888,https://www.baosteel.com/en/products/tubular-products-erw.html,International transit time (15-30 days) and currency exchange fluctuations.,"Request international quotation from Baoshan Iron & Steel Co., Ltd. (Baosteel) including CIF Mundra freight, customs HS code, and export lead time."
M-03,GLOBAL,2,Tenaris S.A. (Middle East & Asia Distribution),Dubai (Global HQ: Luxembourg),United Arab Emirates,PRIMARY_MANUFACTURER,NEAR_MATCH,80.0,11,Global capacity exceeding 3.5 Million MT of tubular products annually.,ISO 9001:2015; API Q1; API 5L; ASTM A53; EN 10255,Jebel Ali Port ocean container shipping to Nhava Sheva or Mundra Port (7-10 days transit) followed by bonded road transport to Ahmedabad.,"Tenaris Global Services Middle East, Dubai Internet City, Building 16, Dubai, UAE",orders.middleeast@tenaris.com,+971-4-450-4000,https://www.tenaris.com/en/products/industrial-line-pipes/,International transit time (15-30 days) and currency exchange fluctuations.,"Request international quotation from Tenaris S.A. (Middle East & Asia Distribution) including CIF Mundra freight, customs HS code, and export lead time."
M-03,GLOBAL,3,Nippon Tubular Exports Corp (Tokyo),"Tokyo / Chiba Works, Japan",Japan,PRIMARY_MANUFACTURER,NEAR_MATCH,79.2,12,Over 1.8 Million MT annual high-precision pipe production capacity.,ISO 9001; API 5L; JIS G3452; ASTM A53 Spec,Container and breakbulk maritime dispatch from Yokohama to Mundra Port (16-20 days transit).,"1-1 Marunouchi, Chiyoda-ku, Tokyo 100-0005, Japan",export-inquiry@nippontubular.co.jp,,https://www.nippontubular.co.jp/en/products/hfw-linepipes.html,International transit time (15-30 days) and currency exchange fluctuations.; Direct phone contact unverified.,"Request international quotation from Nippon Tubular Exports Corp (Tokyo) including CIF Mundra freight, customs HS code, and export lead time."
M-03,GLOBAL,4,Hamriyah Steel & Tube Trading FZE,Sharjah,United Arab Emirates,STOCKIST_TRADER,NEAR_MATCH,74.0,13,"Ready export yard of 15,000 MT dedicated to rapid containerized sea freight to South Asian ports.",ISO 9001:2015; Bureau Veritas Export Inspection Certificate,Export customs ready; sea freight to Mundra Port in 6-8 days; inland trucking to Ahmedabad in 1-2 days post clearance.,"Hamriyah Free Zone, Phase 1, Warehouse Complex B-14, Sharjah, UAE",export@hamriyahsteeltubes.ae,+971-6-526-7811,https://www.hamriyahsteeltubes.ae/inventory/black-erw-pipes.html,International transit time (15-30 days) and currency exchange fluctuations.,"Request international quotation from Hamriyah Steel & Tube Trading FZE including CIF Mundra freight, customs HS code, and export lead time."
M-03,GLOBAL,5,Gulf Piping Supplies LLC (Oman / UAE),"Sohar Industrial Port, Oman",Oman,STOCKIST_TRADER,NEAR_MATCH,73.2,15,"Regional warehouse holding 8,000 MT of prime carbon steel tubes.",ISO 9001:2015,,"Sohar Free Zone, Phase 2, Plot C-18, Sohar, Sultanate of Oman",,+968-2685-1100,https://www.gulfpipingsupplies.com/pipes/astm-a53.html,International transit time (15-30 days) and currency exchange fluctuations.; Commercial contact email unlisted.; Delivery and freight logistics arrangement unverified.,"Request international quotation from Gulf Piping Supplies LLC (Oman / UAE) including CIF Mundra freight, customs HS code, and export lead time."
M-03,GLOBAL,6,EuroPiping Trading B.V. (Rotterdam),"Rotterdam, Netherlands",Netherlands,STOCKIST_TRADER,NEAR_MATCH,57.0,20,,,European port consolidation; sea freight on buyer demurrage terms.,,sales@europipingtrading.nl,+31-10-590-4400,https://www.europipingtrading.nl/products.html,International transit time (15-30 days) and currency exchange fluctuations.; Physical facility or warehouse address unlisted.; No accredited quality (ISO/BIS) certifications verified on record.; Stock availability and production capacity unverified.,"Request international quotation from EuroPiping Trading B.V. (Rotterdam) including CIF Mundra freight, customs HS code, and export lead time."
M-03,GLOBAL,7,"Al-Manama Industrial Metal Brokers (Manama, Bahrain)","Manama, Bahrain",Bahrain,STOCKIST_TRADER,NEAR_MATCH,56.2,21,,,,,sales@almanamametal.bh,,https://www.yellowpages-bahrain.com/c/al-manama-metal-brokers,International transit time (15-30 days) and currency exchange fluctuations.; Direct phone contact unverified.; Physical facility or warehouse address unlisted.; No accredited quality (ISO/BIS) certifications verified on record.; Stock availability and production capacity unverified.; Delivery and freight logistics arrangement unverified.,"Request international quotation from Al-Manama Industrial Metal Brokers (Manama, Bahrain) including CIF Mundra freight, customs HS code, and export lead time."
M-03,GLOBAL,8,Singapore Asian Metal Logistics Pte Ltd,Singapore,Singapore,EPC_SUPPLIER,NEAR_MATCH,56.2,22,Brokered supplier agreement with regional Malaysian and Indonesian pipe mills.,,Export containerized FOB Singapore or CIF Mundra shipping terms.,"10 Anson Road, International Plaza, Singapore 079903",projects@asianmetallogistics.sg,,https://www.sgpbusiness.com/company/Asian-Metal-Logistics-Pte-Ltd,International transit time (15-30 days) and currency exchange fluctuations.; Direct phone contact unverified.; No accredited quality (ISO/BIS) certifications verified on record.,"Request international quotation from Singapore Asian Metal Logistics Pte Ltd including CIF Mundra freight, customs HS code, and export lead time."
